Question,Answer
"لطفاً توضیح دهید سامانه آریونکس چه کاربردی دارد؟","سامانه آریونکس یک پلتفرم سازمانی برای مدیریت دانش، جست‌وجوی معنایی و پاسخ‌گویی هوشمند است. این سامانه اسناد، فایل‌های CSV و صفحات وب مجاز را پردازش می‌کند و امکان دریافت پاسخ رسمی به زبان فارسی را فراهم می‌سازد."
"فرآیند بارگذاری یک سند جدید در مرکز دانش چگونه انجام می‌شود؟","کاربر مجاز باید از پنل مدیریت وارد بخش مرکز دانش شود، گزینه بارگذاری فایل را انتخاب کند، فایل را با فرمت پشتیبانی‌شده ارسال کند و پس از تکمیل پردازش، وضعیت ساخت امبدینگ را بررسی نماید."
"چه قالب‌هایی برای ورود داده به سامانه پشتیبانی می‌شوند؟","برای سناریوی دمو، قالب‌های PDF، Markdown، TXT و CSV پیشنهاد می‌شوند. برای کاهش خطا، فایل‌ها باید با کدگذاری UTF-8، ساختار خوانا و بدون داده حساس ذخیره شوند."
"آیا امکان استفاده از مدل زبانی محلی از طریق Ollama وجود دارد؟","بله. مدیر سامانه می‌تواند اتصال Ollama را فعال کند، نام مدل محلی را در تنظیمات وارد نماید و پاسخ‌گویی را به‌گونه‌ای انجام دهد که داده خام از زیرساخت سازمان خارج نشود."
"در صورت دریافت پاسخ نامرتبط یا ناقص از سامانه، چه اقدامی باید انجام شود؟","ابتدا باید اطمینان حاصل شود که فایل منبع با موفقیت پردازش شده و امبدینگ آن ساخته شده است. سپس کیفیت سؤال، تعداد نتایج بازیابی، اندازه قطعه‌بندی و به‌روز بودن سند منبع بررسی شود."
"آیا خزنده وب مجاز است به همه وب‌سایت‌ها و صفحات دسترسی داشته باشد؟","خیر. خزنده وب فقط باید روی دامنه‌های مجاز و منابع تأییدشده اجرا شود، محدودیت نرخ را رعایت کند و از ورود به صفحات حساس، خصوصی یا غیرمجاز خودداری نماید."
"پیش از استفاده از داده‌ها در محیط دمو، چه موارد محرمانه‌ای باید حذف شوند؟","پیش از بارگذاری، فایل‌ها باید بازبینی شوند و مواردی مانند کلیدهای API، رمزهای عبور، اطلاعات پرداخت، اطلاعات منابع انسانی، داده‌های هویتی و قراردادهای حساس حذف یا ناشناس‌سازی شوند."
"سطوح دسترسی کاربران در سامانه بر چه مبنایی تعریف می‌شود؟","سطوح دسترسی بر اساس نقش‌هایی مانند مدیر سامانه، کارشناس دانش، کارشناس پشتیبانی و کاربر نهایی تعریف می‌شود. در همه نقش‌ها اصل حداقل دسترسی باید رعایت گردد."
"در صورت خوانده نشدن صحیح فایل CSV، چه مواردی باید بررسی شود؟","مواردی مانند کدگذاری UTF-8، جداکننده ستون‌ها، وجود ستون‌های Question و Answer، نبود خط‌های شکسته و یکپارچگی محتوای هر ردیف باید بررسی و اصلاح شوند."
"آیا پاسخ‌های تولیدشده توسط سامانه باید به منبع قابل استناد متصل باشند؟","بله. در حالت بازیابی از اسناد، پاسخ باید تا حد امکان به نام سند، بخش مرتبط یا منبع مورد استفاده اشاره کند تا کاربر بتواند صحت پاسخ را ارزیابی کند."
"زمان پاسخ اولیه پشتیبانی برای مشتریان سازمانی چگونه تعریف شده است؟","در این سناریوی فرضی، زمان پاسخ اولیه برای مشتریان سازمانی در روزهای کاری حداکثر ۴ ساعت تعریف شده است. رخدادهای بحرانی امنیتی باید با اولویت بالاتر پیگیری شوند."
"در صورت شکست پردازش یا امبدینگ یک فایل، فرآیند پیگیری چگونه است؟","فایل ناموفق در صف بازپردازش قرار می‌گیرد، پیام خطا در پنل مدیریتی نمایش داده می‌شود و مدیر سامانه می‌تواند وضعیت پردازش و علت خطا را بررسی کند."
"آیا اجرای مدل زبانی به‌صورت محلی برای حفاظت از داده‌های سازمانی کافی است؟","اجرای محلی مدل باعث می‌شود داده خام از شبکه سازمان خارج نشود، اما به‌تنهایی کافی نیست. کنترل دسترسی، ثبت لاگ امنیتی، پاک‌سازی داده حساس و سیاست محرمانگی نیز باید رعایت شوند."
"برای نمایش رسمی قابلیت‌های محصول در جلسه دمو، چه محورهایی پیشنهاد می‌شود؟","محورهای پیشنهادی شامل بارگذاری سند، ساخت امبدینگ، پرسش‌وپاسخ فارسی، اتصال Ollama محلی، اجرای خزنده روی دامنه مجاز، نمایش نقش‌های کاربری و بررسی سیاست محرمانگی داده است."
"بازخورد کاربران درباره کیفیت پاسخ‌ها چگونه باید ثبت و استفاده شود؟","کاربر می‌تواند پس از مشاهده پاسخ، امتیاز رضایت یا توضیح تکمیلی ثبت کند. تیم دانش باید بازخوردهای پرتکرار را بررسی کرده و در صورت نیاز، سؤال‌وجواب‌ها یا اسناد منبع را اصلاح نماید."
