Transaction_ID,Date,Category,Amount,Account,Description,Status
TX-1001,1402/12/01,حقوق و دستمزد,150000000,هزینه‌های پرسنلی,پرداخت حقوق بهمن پرسنل,پرداخت شده
TX-1002,1402/12/02,اجاره,45000000,هزینه‌های اداری,اجاره دفتر مرکزی,پرداخت شده
TX-1003,1402/12/05,ملزومات اداری,12000000,هزینه‌های اداری,خرید کاغذ و لوازم‌التحریر,پرداخت شده
TX-1004,1402/12/08,بازاریابی,35000000,هزینه‌های فروش,تبلیغات بنری کلیکی,پرداخت شده
TX-1005,1402/12/10,حقوق و دستمزد,160000000,هزینه‌های پرسنلی,پرداخت حقوق اسفند پرسنل,در انتظار
TX-1006,1402/12/12,اینترنت و شبکه,8000000,هزینه‌های ارتباطات,خرید اشتراک سالانه سرور,پرداخت شده
TX-1007,1402/12/15,بازاریابی,25000000,هزینه‌های فروش,کمپین شب عید اینستاگرام,پرداخت شده
TX-1008,1402/12/18,آبونمان و اشتراک,3000000,هزینه‌های ارتباطات,اشتراک نرم‌افزار حسابداری,پرداخت شده
TX-1009,1402/12/20,ملزومات اداری,6000000,هزینه‌های اداری,خرید صندلی اداری جدید,پرداخت شده
TX-1010,1402/12/22,پذیرایی و تشریفات,15000000,هزینه‌های اداری,خرید چای و نسکافه برای شرکت,پرداخت شده
